# list of object assets to load in this scene
[ASSETS]
mario.txt
coin.txt
cloud.txt
brick.txt
goomba.txt
mushroom.txt
luckybrick.txt
block.txt
koopas.txt
checkfall.txt
map.txt
goombafly.txt
leaf.txt
plantbullet.txt
fire.txt
pipe.txt
koopasfly.txt
plantpiranha.txt
breakablebrick.txt
platform.txt
button.txt
effects.txt
player.txt

#filePath	mapWidth	mapHeight	tileWidth	tileHeight	texID	texWidth	texHeight
[TILEMAP]
scene_1_map.txt	2816	626	16	16	50	320	96

[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas
# See OBJECT_TYPE constants in AssetIDs.h

#Pipe
16	2264	383
16	2264	383
16	2264	275
16	2264	245
16	2328	399
16	2264	225
16	2264	195
16	2264	165
16	2264	125

#BRICKMAPUNDER
1	2077	585
1	2077	560
1	2077	535
1	2077	510
1	2077	485
1	2077	460
1	2077	435
1	2224	592
1	2241	576
1	2256	560
1	2271	544
1	2288	529
1	2304	513
1	2320	513
1	2336	513
1	2352	491
1	2352	465

#Map
#11	1408	70




# MARIO
0	20	300

24	150	185

#COIN
4	1080	320
4	1110	290
4	1144	260
4	1174	235
4	1336	85
4	1347	85
4	1360	85
4	1480	105
4	1495	105
4	1540	125
4	1555	125
4	1570	125
4	1585	125
4	1620	105
4	1635	105
4	1650	105
4	1665	105
4	1705	135
4	1740	105
4	1765	115
4	1800	105
4	1845	115
4	2180	560
4	2195	570
4	2215	570
4	2230	560
4	2230	545
4	2195	523
4	2215	523
4	2230	510
4	2230	495
4	2195	474
4	2215	474
4	2180	488


#brick
1	-10	395
1	-10	375
1	-10	355
1	-10	335
1	-10	315
1	-10	295
1	-10	275
1	-10	255
1	-10	235
1	-10	215
1	-10	195
1	-10	175
1	-10	155
1	-10	135
1	-10	115
1	-10	95
1	-10	75
1	-10	55


1	2810	395
1	2810	375
1	2810	355
1	2810	335
1	2810	315
1	2810	295
1	2810	275
1	2810	255
1	2810	235
1	2810	215
1	2810	195
1	2810	175
1	2810	155
1	2810	135
1	2810	115
1	2810	95
1	2810	75
1	2810	55


#Goomba
2	640	375
2	240	375
2	940	375
2	980	375

#Goombafly
12	1040	375

#Koopas
3	550	335
3	1450	335
3	2104	335

#Mushroom


#LuckyBrick	
7	238	304
7	655	384
7	1471	368

#LuckyBrickCoin
8	175	352
8	191	352
8	222	304
8	416	319
8	704	352

#Block
9	255	383
9	287	350
9	415	383
9	445	383
9	479	351
9	494	351
9	527	319
9	542	319
9	529	399
9	574	399
9	1282	399
9	1312	399
9	1342	399
9	1312	367
9	1342	367
9	1376	367
9	1343	335
9	1373	335
9	1407	335
9	2159	382
9	2192	287
9	1329	158
9	1345	158
9	1424	206
9	1436	206
9	1502	191
9	1542	191
9	1582	191
9	1622	191
9	1661	191


#Leaf
#13	100	40

#PlantBullet
14	359	346
14	1864	375

#Fire
#15	300	100

#KoopasFly
17	1332	275
17	1372	255
17	1412	245

#PlantPiranha
18	1799	375

#Pipe
16	1864	385
16	1800	399
16	360	384
#Rock
5	1505	335	16	15	2	110012	110012	110012
5	1584	383	16	15	2	110012	110012	110012
5	1571	399	16	15	3	110012	110012	110012
5	1602	367	16	15	1	110012	110012	110012
5	1664	383	16	15	2	110012	110012	110012
5	1663	399	16	15	3	110012	110012	110012
5	1664	367	16	15	1	110012	110012	110012
5	2255	366	16	15	2	110012	110012	110012
5	2257	305	16	15	2	110012	110012	110012

#Platform
5 	0	415	16	15	40	110012	110012	110012
5	627	400	15.9	15	29	110012	110012	110012
5	1152	415	16	15	22	110012	110012	110012
5	1535	415	16	15	5	110012	110012	110012
5	1943	418	576	15	1	200001	200001	200001
5	2257	415	16	15	35	110012	110012	110012
5	2092	607	16	15	200	110012	110012	110012
5	2092	447	16	15	200	110012	110012	110012
5	-8	35	16	15	500	110012	110012	110012

#BreakableBrick
19	2032	401
19	2032	385
19	2016	401
19	2016	385
19	2016	369
19	2000	401
19	2000	385
19	2000	369
19	1984	401
19	1984	385
19	1984	369
19	1969	401
19	1969	385
19	2096	401
19	2096	385
19	2112	401
19	2048	401
19	1953	401

#BUTTON
21	2032	369

#MAPUNDER
20	2262	112
20	2327	462

#1UP
23	1427	105
